$_id$field$id$list$title
0$59dda415bbb93116047ff16c$发行$1$['北京光线影业有限公司', 'Well Go', 'Encore Films', 'Golden Village Pictures']$参与公司-鸿门宴传奇
1$59dda417bbb93116047ff170$联合发行$2$['中国电影集团公司', '中影华纳横店影视有限公司']$参与公司-疯狂的赛车
2$59dda419bbb93116047ff174$其他$3$['中国电影合作制片公司（监制）']$参与公司-非诚勿扰2
3$59dda41bbbb93116047ff178$其他$4$['中国电影合作制片公司（监制）']$参与公司-游龙戏凤
4$59dda41ebbb93116047ff17c$发行$5$['华谊兄弟传媒股份有限公司', '洲立影片发行（香港）有限公司', 'Festive Films', 'Cathay-Keris Films']$参与公司-爱
5$59dda421bbb93116047ff180$其他$6$['中国电影集团公司（引进）', '北京影行天下文化传播有限公司（营销）', '上海电影（集团）公司上海电影译制厂（译制）']$参与公司-地心历险记2：神秘岛
6$59dda436bbb93116070ebbfc$发行$7$['华天下电影发行有限公司', '香港美亚娱乐集团', '寰亚影视发行（香港）有限公司', 'Shaw Organisation']$参与公司-高海拔之恋Ⅱ
7$59dda439bbb93116070ebc00$发行$8$['Transeuropa Video Entertainment (TVE)', 'Sony Pictures Classics', 'Golem Distribución S.L.']$参与公司-秋菊打官司
8$59dda43bbbb93116070ebc04$制作$9$['上海美术电影制片厂']$参与公司-宝莲灯
9$59dda43dbbb93116070ebc08$发行$10$['Evokative Films', '秀东影业', 'Contender Entertainment Group']$参与公司-哭泣的拳头
10$59dda440bbb93116070ebc0c$其他$11$['中国电影合作制片公司（监制）']$参与公司-投名状
11$59dda442bbb93116070ebc10$联合发行$12$['中国电影集团公司', '安乐（北京）电影发行有限公司']$参与公司-不能说的秘密
12$59dda444bbb93116070ebc14$出品$13$['北京派格太合环球文化传媒投资有限公司', '上海电影（集团）有限公司', '北京电影制片厂', '北京新浪互联信息服务有限公司', '神州电视有限公司']$参与公司-爱情呼叫转移2：爱情左右
