$_id$clist$elist$field$id$title
0$59dda414bbb93116047ff16b$['梁小熊']$['Tony Leung Siu Hung']$武术指导$1$演职人员-鸿门宴传奇
1$59dda417bbb93116047ff16f$['雷振宇', '郭建全', '张福志', '陈京民', '李丽萍']$['Zhenyu Lei', 'Jianquan Guo', 'Fuzhi Zhang', 'Minjing Chen', 'Liping Li']$视觉效果$2$演职人员-疯狂的赛车
2$59dda419bbb93116047ff173$['石海鹰']$['Haiying Shi']$美术指导$3$演职人员-非诚勿扰2
3$59dda41bbbb93116047ff177$['Angel Tsui']$['Angel Tsui']$视觉效果$4$演职人员-游龙戏凤
4$59dda41ebbb93116047ff17b$['奇文']$['Qi Wen']$视觉效果$5$演职人员-爱
5$59dda420bbb93116047ff17f$['Mark Breakspear', 'Clark Graff', 'Dietrich Hasse', 'Bryan Hirota', 'Jeffrey Kalmus', 'Simone Kraus', 'Sean Mathiesen', 'Erik Nordby', '博伊德·舍米斯', 'Bryan Thombs', 'Michael Wortmann']$['Mark Breakspear', 'Clark Graff', 'Dietrich Hasse', 'Bryan Hirota', 'Jeffrey Kalmus', 'Simone Kraus', 'Sean Mathiesen', 'Erik Nordby', 'Boyd Shermis', 'Bryan Thombs', 'Michael Wortmann']$视觉效果$6$演职人员-地心历险记2：神秘岛
6$59dda436bbb93116070ebbfb$['曾伯铨']$['Steven Tsang']$服装师$7$演职人员-高海拔之恋Ⅱ
7$59dda438bbb93116070ebbff$['佟华苗']$['Huamiao Tong']$服装师$8$演职人员-秋菊打官司
8$59dda43bbbb93116070ebc03$['秦一真']$['Yizhen Qin']$美术指导$9$演职人员-宝莲灯
9$59dda43dbbb93116070ebc07$['郑斗洪']$['Doo-hong Jung']$武术指导$10$演职人员-哭泣的拳头
10$59dda43fbbb93116070ebc0b$['程小东']$['Siu Tung Ching']$武术指导$11$演职人员-投名状
11$59dda441bbb93116070ebc0f$['黄宏达', '黄宏显']$['Hongda Huang', 'Eddy Wong']$视觉效果$12$演职人员-不能说的秘密
12$59dda444bbb93116070ebc13$['马小珺']$['XiaoJun Ma']$剪辑师$13$演职人员-爱情呼叫转移2：爱情左右
13$59dda445bbb93116070ebc17$['Michael Joyce', 'Ray McIntyre Jr.', 'Jerry Pooler', 'John E. Sullivan', 'David J. Witters', 'Amit Dhawal', 'Dion Hatch', 'Anthony `Max` Ivins', 'Scott Liedtka', 'David Sosalla']$"['Michael Joyce', 'Ray McIntyre Jr.', 'Jerry Pooler', 'John E. Sullivan', 'David J. Witters', 'Amit Dhawal', 'Dion Hatch', ""Anthony 'Max' Ivins"", 'Scott Liedtka', 'David Sosalla']"$视觉效果$14$演职人员-预见未来
14$59dda448bbb93116070ebc1b$['程小东']$['Siu Tung Ching']$武术指导$15$演职人员-大灌篮
15$59dda44abbb93116070ebc1f$['Jesh Murthy', 'Derek Wentworth', '克雷格·海耶斯', '理查德·马克布莱德', '鲍晓曦']$['Jesh Murthy', 'Derek Wentworth', 'Craig Hayes', 'Richard McBride', 'Xiaoxi Bao']$视觉效果$16$演职人员-赤壁（下）
16$59dda735bbb931162580ed9c$['Li Sun']$['Li Sun']$制片人$17$演职人员-爱有来生
17$59dda738bbb931162580ed9f$['鲍晓曦', '刘灏']$['Xiaoxi Bao']$视觉效果$18$演职人员-孔子
18$59dda73abbb931162580eda3$['谷轩昭']$['Ku Huen Chiu']$武术指导$19$演职人员-赵氏孤儿
19$59dda73ebbb931162580edaa$['Bret Culp']$['Bret Culp']$视觉效果$21$演职人员-哈勃望远镜3D
20$59dda740bbb931162580edae$['青山刚昌', '古内一成']$['Gôshô Aoyama', 'Kazunari Kouchi']$编剧$22$演职人员-名侦探柯南 天空的遇难船
21$59dda742bbb931162580edb1$['Rocco Passionino']$['Rocco Passionino']$视觉效果$23$演职人员-功夫梦
22$59dda744bbb931162580edb4$['梁小熊']$['Tony Leung Siu Hung']$武术指导$24$演职人员-叶问前传
23$59dda747bbb931162580edb8$['Sara Markowitz']$['Sara Markowitz']$服装师$25$演职人员-特工的特别任务
24$59dda749bbb931162580edbc$['黄伟亮']$['Jack Wong Wai Leung']$武术指导$26$演职人员-开心魔法
25$59dda74cbbb931162580edc0$['张德全']$[]$执行制片$27$演职人员-龙门飞甲
26$59dda751bbb931162580edc7$['杨德毅']$['Tak-ngai Yeung']$武术指导$29$演职人员-遍地狼烟
27$59dda753bbb931162580edcb$['刘文', '唐文康', '汤元基', '欧嘉宝', '黄俊淇']$['Wen Liu', 'Tong Man Hong', 'Yuan-ji Tang', 'Jia-bao Ou', 'C.K.Wong']$制片人$30$演职人员-新月魅影
28$59dda755bbb931162580edcf$['张雯']$['Isabella Zhang']$策划$31$演职人员-倾城之泪
29$59dda757bbb931162580edd3$['露西']$[]$配音演员$32$演职人员-亲密敌人
30$59dda759bbb931162580edd7$['李忠志']$['Nicky Li Chung-Chi']$武术指导$33$演职人员-极速天使
31$59dda75cbbb931162580eddb$['Colin Davies', 'Marc Kolbe']$['Marc Kolbe']$视觉效果$34$演职人员-梦宅诡影
32$59dda75ebbb931162580eddf$['陆一晨', '曲强']$['Yi-chen Lu', 'Qiang Qu']$美术指导$35$演职人员-智取威虎山
33$59dda760bbb931162580ede3$['张升']$['Sheng Zhang']$视觉效果$36$演职人员-双人床条约
34$59dda762bbb931162580ede7$['陈罗超', '陈文兴']$['Luo-chao Chen', 'Wen-xin Chen']$制片人$37$演职人员-玩命狙击
35$59dda764bbb931162580edeb$['翁羽']$['Yu Weng']$美术指导$38$演职人员-2012来了
36$59dda766bbb931162580edef$['Rafa Solorzano', 'Félix Bergés']$['Rafa Solorzano', 'Félix Bergés']$视觉效果$39$演职人员-深度谜案
37$59dda76abbb931162580edf5$['尹济均', '尹齐均']$['Je-gyun Yun', 'JK Youn']$编剧$41$演职人员-深海之战
38$59dda76cbbb931162580edf9$['张芳弟']$['Cindy Cheng']$服装师$42$演职人员-婚前试爱
